0.8613,-0.76316698989775E+02
0.8713,-0.76319275994985E+02
0.8813,-0.76321499251348E+02
0.8913,-0.76323391396477E+02
0.9013,-0.76324973656029E+02
0.9113,-0.76326265935881E+02
0.9213,-0.76327286908018E+02
0.9313,-0.76328054090668E+02
0.9413,-0.76328583923109E+02
0.9513,-0.76328891835534E+02
0.9613,-0.76328992314384E+02
0.9713,-0.76328898963535E+02
0.9813,-0.76328624561540E+02
0.9913,-0.76328181114929E+02
1.0013,-0.76327579907994E+02
1.0113,-0.76326831549364E+02
1.0213,-0.76325946015490E+02
1.0313,-0.76324932691183E+02
1.0413,-0.76323800407376E+02
1.0513,-0.76322557476294E+02
1.0613,-0.76321211724182E+02
