0.8218,-0.10032674932793E+03
0.8318,-0.10032973170175E+03
0.8418,-0.10033229875427E+03
0.8518,-0.10033447855593E+03
0.8618,-0.10033629730534E+03
0.8718,-0.10033777946320E+03
0.8818,-0.10033894787614E+03
0.8918,-0.10033982389139E+03
0.9018,-0.10034042746289E+03
0.9118,-0.10034077724950E+03
0.9218,-0.10034089070581E+03
0.9318,-0.10034078416616E+03
0.9418,-0.10034047292236E+03
0.9518,-0.10033997129552E+03
0.9618,-0.10033929270247E+03
0.9718,-0.10033844971715E+03
0.9818,-0.10033745412746E+03
0.9918,-0.10033631698767E+03
1.0018,-0.10033504866713E+03
1.0118,-0.10033365889513E+03
1.0218,-0.10033215680259E+03
