0.9121,2.8147,90.0,-0.11291076403160E+03
0.9221,2.8147,90.0,-0.11291286421379E+03
0.9321,2.8147,90.0,-0.11291468109203E+03
0.9421,2.8147,90.0,-0.11291623209646E+03
0.9521,2.8147,90.0,-0.11291753368677E+03
0.9621,2.8147,90.0,-0.11291860141191E+03
0.9721,2.8147,90.0,-0.11291944996604E+03
0.9821,2.8147,90.0,-0.11292009323999E+03
0.9921,2.8147,90.0,-0.11292054437431E+03
1.0021,2.8147,90.0,-0.11292081579705E+03
1.0121,2.8147,90.0,-0.11292091927456E+03
1.0221,2.8147,90.0,-0.11292086594806E+03
1.0321,2.8147,90.0,-0.11292066637182E+03
1.0421,2.8147,90.0,-0.11292033054837E+03
1.0521,2.8147,90.0,-0.11291986796338E+03
1.0621,2.8147,90.0,-0.11291928760844E+03
1.0721,2.8147,90.0,-0.11291859802342E+03
1.0821,2.8147,90.0,-0.11291780731147E+03
1.0921,2.8147,90.0,-0.11291692316892E+03
1.1021,2.8147,90.0,-0.11291595290841E+03
1.1121,2.8147,90.0,-0.11291490347818E+03
0.9121,2.9147,90.0,-0.11291277410492E+03
0.9221,2.9147,90.0,-0.11291491136888E+03
0.9321,2.9147,90.0,-0.11291676428849E+03
0.9421,2.9147,90.0,-0.11291835019998E+03
0.9521,2.9147,90.0,-0.11291968546655E+03
0.9621,2.9147,90.0,-0.11292078553767E+03
0.9721,2.9147,90.0,-0.11292166500545E+03
0.9821,2.9147,90.0,-0.11292233765697E+03
0.9921,2.9147,90.0,-0.11292281652415E+03
1.0021,2.9147,90.0,-0.11292311392993E+03
1.0121,2.9147,90.0,-0.11292324153003E+03
1.0221,2.9147,90.0,-0.11292321035454E+03
1.0321,2.9147,90.0,-0.11292303084637E+03
1.0421,2.9147,90.0,-0.11292271289634E+03
1.0521,2.9147,90.0,-0.11292226587651E+03
1.0621,2.9147,90.0,-0.11292169867135E+03
1.0721,2.9147,90.0,-0.11292101970711E+03
1.0821,2.9147,90.0,-0.11292023697973E+03
1.0921,2.9147,90.0,-0.11291935807833E+03
1.1021,2.9147,90.0,-0.11291839021062E+03
1.1121,2.9147,90.0,-0.11291734022454E+03
0.9121,3.0147,90.0,-0.11291399708064E+03
0.9221,3.0147,90.0,-0.11291615945346E+03
0.9321,3.0147,90.0,-0.11291803666936E+03
0.9421,3.0147,90.0,-0.11291964599675E+03
0.9521,3.0147,90.0,-0.11292100372815E+03
0.9621,3.0147,90.0,-0.11292212524022E+03
0.9721,3.0147,90.0,-0.11292302504950E+03
0.9821,3.0147,90.0,-0.11292371686515E+03
0.9921,3.0147,90.0,-0.11292421363850E+03
1.0021,3.0147,90.0,-0.11292452760906E+03
1.0121,3.0147,90.0,-0.11292467034793E+03
1.0221,3.0147,90.0,-0.11292465279916E+03
1.0321,3.0147,90.0,-0.11292448531658E+03
1.0421,3.0147,90.0,-0.11292417770037E+03
1.0521,3.0147,90.0,-0.11292373923090E+03
1.0621,3.0147,90.0,-0.11292317869988E+03
1.0721,3.0147,90.0,-0.11292250443985E+03
1.0821,3.0147,90.0,-0.11292172435175E+03
1.0921,3.0147,90.0,-0.11292084593064E+03
1.1021,3.0147,90.0,-0.11291987628979E+03
1.1121,3.0147,90.0,-0.11291882218320E+03
0.9121,3.1147,90.0,-0.11291467884860E+03
0.9221,3.1147,90.0,-0.11291685794783E+03
0.9321,3.1147,90.0,-0.11291875129358E+03
0.9421,3.1147,90.0,-0.11292037610690E+03
0.9521,3.1147,90.0,-0.11292174863171E+03
0.9621,3.1147,90.0,-0.11292288419420E+03
0.9721,3.1147,90.0,-0.11292379725849E+03
0.9821,3.1147,90.0,-0.11292450148036E+03
0.9921,3.1147,90.0,-0.11292500975550E+03
1.0021,3.1147,90.0,-0.11292533426597E+03
